['(142,820)', '(184,820)', '(184,841)', '(142,841)']
['(190,820)', '(264,820)', '(264,841)', '(190,841)']
['(270,821)', '(281,821)', '(281,842)', '(270,842)']
['(287,821)', '(320,821)', '(320,842)', '(287,842)']
['(328,821)', '(409,821)', '(409,842)', '(328,842)']
['(414,821)', '(491,821)', '(491,843)', '(414,843)']
['(84,851)', '(189,851)', '(189,871)', '(84,871)']
['(191,851)', '(196,851)', '(196,870)', '(191,870)']
['(203,851)', '(276,851)', '(276,870)', '(203,870)']
['(282,851)', '(289,851)', '(289,870)', '(282,870)']
['(297,851)', '(328,851)', '(328,870)', '(297,870)']
['(335,850)', '(358,850)', '(358,869)', '(335,869)']
['(363,850)', '(456,850)', '(456,869)', '(363,869)']
['(463,850)', '(509,850)', '(509,869)', '(463,869)']
['(83,882)', '(114,882)', '(114,901)', '(83,901)']
['(121,882)', '(154,882)', '(154,901)', '(121,901)']
['(160,882)', '(225,882)', '(225,901)', '(160,901)']
['(231,882)', '(286,882)', '(286,901)', '(231,901)']
['(292,882)', '(305,882)', '(305,901)', '(292,901)']
['(311,882)', '(374,882)', '(374,901)', '(311,901)']
['(375,882)', '(380,882)', '(380,901)', '(375,901)']
['(50,942)', '(77,942)', '(77,967)', '(50,967)']
['(84,942)', '(202,943)', '(202,968)', '(84,967)']
['(84,977)', '(184,977)', '(184,995)', '(84,995)']
['(189,977)', '(220,977)', '(220,995)', '(189,995)']
['(226,977)', '(299,977)', '(299,995)', '(226,995)']
['(305,977)', '(326,977)', '(326,995)', '(305,995)']
['(330,977)', '(377,977)', '(377,996)', '(330,996)']
['(382,978)', '(460,978)', '(460,996)', '(382,996)']
['(464,978)', '(496,978)', '(496,996)', '(464,996)']
['(84,1008)', '(128,1008)', '(128,1027)', '(84,1027)']
['(132,1008)', '(182,1008)', '(182,1027)', '(132,1027)']
['(186,1008)', '(226,1008)', '(226,1027)', '(186,1027)']
['(230,1008)', '(269,1008)', '(269,1027)', '(230,1027)']
['(274,1008)', '(309,1008)', '(309,1027)', '(274,1027)']
['(315,1008)', '(403,1008)', '(403,1027)', '(315,1027)']
['(405,1008)', '(409,1008)', '(409,1027)', '(405,1027)']
['(51,1043)', '(64,1043)', '(64,1062)', '(51,1062)']
['(83,1042)', '(198,1042)', '(198,1061)', '(83,1061)']
['(205,1041)', '(305,1041)', '(305,1061)', '(205,1061)']
['(310,1041)', '(380,1041)', '(380,1060)', '(310,1060)']
['(383,1041)', '(406,1041)', '(406,1060)', '(383,1060)']
['(411,1041)', '(507,1041)', '(507,1060)', '(411,1060)']
['(83,1074)', '(114,1074)', '(114,1093)', '(83,1093)']
['(116,1074)', '(173,1074)', '(173,1093)', '(116,1093)']
['(178,1074)', '(195,1074)', '(195,1093)', '(178,1093)']
['(199,1074)', '(247,1074)', '(247,1093)', '(199,1093)']
['(250,1074)', '(344,1074)', '(344,1093)', '(250,1093)']
['(345,1074)', '(350,1074)', '(350,1093)', '(345,1093)']
['(357,1074)', '(366,1074)', '(366,1093)', '(357,1093)']
['(363,1074)', '(422,1074)', '(422,1093)', '(363,1093)']
['(427,1074)', '(442,1074)', '(442,1093)', '(427,1093)']
['(447,1074)', '(480,1074)', '(480,1093)', '(447,1093)']
['(84,1103)', '(164,1103)', '(164,1120)', '(84,1120)']
['(171,1103)', '(186,1103)', '(186,1120)', '(171,1120)']
['(193,1103)', '(225,1103)', '(225,1120)', '(193,1120)']
['(231,1103)', '(270,1103)', '(270,1120)', '(231,1120)']
['(277,1103)', '(322,1103)', '(322,1120)', '(277,1120)']
['(328,1103)', '(364,1103)', '(364,1120)', '(328,1120)']
['(368,1103)', '(421,1103)', '(421,1120)', '(368,1120)']
['(425,1103)', '(486,1103)', '(486,1120)', '(425,1120)']
['(84,1134)', '(177,1134)', '(177,1151)', '(84,1151)']
['(183,1134)', '(242,1134)', '(242,1151)', '(183,1151)']
['(243,1134)', '(248,1134)', '(248,1151)', '(243,1151)']
['(249,1134)', '(256,1134)', '(256,1151)', '(249,1151)']
['(52,1193)', '(76,1193)', '(76,1217)', '(52,1217)']
['(85,1193)', '(148,1193)', '(148,1217)', '(85,1217)']
['(157,1193)', '(201,1193)', '(201,1217)', '(157,1217)']
['(209,1193)', '(348,1193)', '(348,1217)', '(209,1217)']
['(84,1230)', '(120,1230)', '(120,1246)', '(84,1246)']
['(125,1230)', '(156,1230)', '(156,1246)', '(125,1246)']
['(162,1230)', '(222,1230)', '(222,1246)', '(162,1246)']
['(228,1230)', '(276,1230)', '(276,1246)', '(228,1246)']
['(282,1230)', '(365,1230)', '(365,1246)', '(282,1246)']
['(371,1230)', '(391,1230)', '(391,1246)', '(371,1246)']
['(396,1230)', '(454,1230)', '(454,1246)', '(396,1246)']
['(83,1256)', '(177,1257)', '(177,1276)', '(83,1275)']
['(182,1258)', '(221,1258)', '(221,1276)', '(182,1276)']
['(228,1258)', '(274,1258)', '(274,1276)', '(228,1276)']
['(279,1259)', '(315,1259)', '(315,1277)', '(279,1277)']
['(319,1259)', '(372,1260)', '(372,1278)', '(319,1277)']
['(375,1260)', '(407,1260)', '(407,1278)', '(375,1278)']
['(409,1260)', '(453,1260)', '(453,1278)', '(409,1278)']
['(85,1290)', '(165,1290)', '(165,1305)', '(85,1305)']
['(167,1290)', '(172,1290)', '(172,1305)', '(167,1305)']
['(85,1325)', '(179,1325)', '(179,1341)', '(85,1341)']
['(186,1325)', '(270,1325)', '(270,1341)', '(186,1341)']
['(276,1325)', '(362,1325)', '(362,1341)', '(276,1341)']
['(367,1325)', '(427,1325)', '(427,1341)', '(367,1341)']
['(432,1325)', '(442,1325)', '(442,1341)', '(432,1341)']
['(449,1325)', '(489,1325)', '(489,1341)', '(449,1341)']
['(85,1355)', '(131,1355)', '(131,1371)', '(85,1371)']
['(136,1355)', '(204,1355)', '(204,1371)', '(136,1371)']
['(210,1355)', '(256,1355)', '(256,1371)', '(210,1371)']
['(261,1355)', '(281,1355)', '(281,1371)', '(261,1371)']
['(287,1355)', '(382,1355)', '(382,1371)', '(287,1371)']
['(387,1355)', '(497,1355)', '(497,1371)', '(387,1371)']
['(84,1385)', '(122,1384)', '(122,1405)', '(84,1406)']
['(127,1384)', '(161,1383)', '(161,1404)', '(127,1405)']
['(168,1384)', '(207,1383)', '(207,1403)', '(168,1404)']
['(211,1383)', '(248,1382)', '(248,1402)', '(211,1403)']
['(255,1382)', '(315,1381)', '(315,1402)', '(255,1403)']
['(313,1382)', '(319,1382)', '(319,1402)', '(313,1402)']
['(84,1420)', '(120,1420)', '(120,1439)', '(84,1439)']
['(125,1420)', '(169,1420)', '(169,1439)', '(125,1439)']
['(175,1420)', '(259,1420)', '(259,1439)', '(175,1439)']
['(265,1420)', '(304,1420)', '(304,1439)', '(265,1439)']
['(311,1420)', '(324,1420)', '(324,1439)', '(311,1439)']
['(331,1420)', '(438,1420)', '(438,1439)', '(331,1439)']
['(441,1420)', '(475,1420)', '(475,1439)', '(441,1439)']
['(83,1450)', '(133,1450)', '(133,1469)', '(83,1469)']
['(136,1450)', '(167,1450)', '(167,1469)', '(136,1469)']
['(169,1450)', '(209,1450)', '(209,1469)', '(169,1469)']
['(214,1450)', '(255,1450)', '(255,1469)', '(214,1469)']
['(254,1450)', '(260,1450)', '(260,1469)', '(254,1469)']
['(264,1450)', '(312,1450)', '(312,1469)', '(264,1469)']
['(318,1450)', '(372,1450)', '(372,1469)', '(318,1469)']
['(377,1450)', '(408,1450)', '(408,1469)', '(377,1469)']
['(412,1450)', '(504,1450)', '(504,1469)', '(412,1469)']
['(84,1481)', '(101,1481)', '(101,1500)', '(84,1500)']
['(105,1481)', '(139,1481)', '(139,1500)', '(105,1500)']
['(144,1481)', '(191,1481)', '(191,1500)', '(144,1500)']
['(197,1481)', '(270,1481)', '(270,1500)', '(197,1500)']
['(276,1481)', '(292,1481)', '(292,1500)', '(276,1500)']
['(298,1481)', '(330,1481)', '(330,1500)', '(298,1500)']
['(335,1481)', '(430,1481)', '(430,1500)', '(335,1500)']
['(435,1481)', '(505,1481)', '(505,1500)', '(435,1500)']
['(84,1510)', '(104,1510)', '(104,1528)', '(84,1528)']
['(110,1510)', '(179,1510)', '(179,1528)', '(110,1528)']
['(184,1510)', '(207,1510)', '(207,1528)', '(184,1528)']
['(213,1510)', '(272,1510)', '(272,1528)', '(213,1528)']
['(277,1510)', '(312,1510)', '(312,1528)', '(277,1528)']
['(317,1510)', '(421,1510)', '(421,1529)', '(317,1529)']
['(424,1511)', '(465,1511)', '(465,1529)', '(424,1529)']
['(84,1541)', '(169,1540)', '(169,1558)', '(84,1559)']
['(174,1540)', '(206,1540)', '(206,1558)', '(174,1558)']
['(211,1540)', '(256,1540)', '(256,1557)', '(211,1557)']
['(254,1540)', '(260,1540)', '(260,1557)', '(254,1557)']
['(84,1583)', '(119,1583)', '(119,1605)', '(84,1605)']
['(124,1583)', '(172,1583)', '(172,1604)', '(124,1604)']
['(176,1583)', '(244,1583)', '(244,1604)', '(176,1604)']
['(249,1583)', '(263,1583)', '(263,1604)', '(249,1604)']
['(269,1582)', '(301,1582)', '(301,1604)', '(269,1604)']
['(306,1582)', '(379,1582)', '(379,1603)', '(306,1603)']
['(383,1582)', '(406,1582)', '(406,1603)', '(383,1603)']
['(408,1582)', '(458,1582)', '(458,1603)', '(408,1603)']
['(459,1582)', '(494,1582)', '(494,1603)', '(459,1603)']
['(84,1614)', '(129,1614)', '(129,1634)', '(84,1634)']
['(134,1614)', '(149,1614)', '(149,1634)', '(134,1634)']
['(155,1614)', '(242,1614)', '(242,1634)', '(155,1634)']
['(248,1614)', '(268,1614)', '(268,1634)', '(248,1634)']
['(273,1614)', '(363,1614)', '(363,1634)', '(273,1634)']
['(368,1614)', '(384,1614)', '(384,1634)', '(368,1634)']
['(390,1614)', '(426,1614)', '(426,1634)', '(390,1634)']
['(429,1614)', '(466,1614)', '(466,1634)', '(429,1634)']
['(463,1614)', '(469,1614)', '(469,1634)', '(463,1634)']
['(84,1649)', '(120,1649)', '(120,1666)', '(84,1666)']
['(126,1649)', '(179,1649)', '(179,1666)', '(126,1666)']
['(179,1649)', '(187,1649)', '(187,1666)', '(179,1666)']
['(188,1649)', '(243,1649)', '(243,1666)', '(188,1666)']
['(248,1649)', '(299,1649)', '(299,1666)', '(248,1666)']
['(304,1649)', '(319,1649)', '(319,1666)', '(304,1666)']
['(324,1649)', '(356,1649)', '(356,1666)', '(324,1666)']
['(361,1649)', '(435,1649)', '(435,1666)', '(361,1666)']
['(438,1649)', '(462,1649)', '(462,1666)', '(438,1666)']
['(463,1649)', '(508,1649)', '(508,1666)', '(463,1666)']
['(83,1679)', '(99,1679)', '(99,1696)', '(83,1696)']
['(103,1679)', '(139,1679)', '(139,1696)', '(103,1696)']
['(142,1679)', '(185,1679)', '(185,1696)', '(142,1696)']
['(188,1679)', '(218,1679)', '(218,1696)', '(188,1696)']
['(221,1679)', '(253,1679)', '(253,1696)', '(221,1696)']
['(258,1679)', '(304,1679)', '(304,1696)', '(258,1696)']
['(309,1679)', '(329,1679)', '(329,1696)', '(309,1696)']
['(335,1679)', '(396,1679)', '(396,1696)', '(335,1696)']
['(398,1679)', '(434,1679)', '(434,1696)', '(398,1696)']
['(438,1679)', '(478,1679)', '(478,1696)', '(438,1696)']
['(480,1679)', '(503,1679)', '(503,1696)', '(480,1696)']
['(84,1711)', '(132,1711)', '(132,1725)', '(84,1725)']
['(132,1711)', '(137,1711)', '(137,1725)', '(132,1725)']
['(85,1745)', '(119,1745)', '(119,1764)', '(85,1764)']
['(124,1745)', '(236,1745)', '(236,1764)', '(124,1764)']
['(243,1745)', '(284,1745)', '(284,1764)', '(243,1764)']
['(288,1745)', '(398,1745)', '(398,1764)', '(288,1764)']
['(403,1745)', '(489,1745)', '(489,1764)', '(403,1764)']
['(84,1775)', '(116,1775)', '(116,1794)', '(84,1794)']
['(122,1775)', '(159,1775)', '(159,1794)', '(122,1794)']
['(164,1775)', '(185,1775)', '(185,1794)', '(164,1794)']
['(189,1775)', '(269,1775)', '(269,1794)', '(189,1794)']
['(275,1775)', '(322,1775)', '(322,1794)', '(275,1794)']
['(328,1775)', '(384,1775)', '(384,1794)', '(328,1794)']
['(388,1775)', '(420,1775)', '(420,1794)', '(388,1794)']
['(425,1775)', '(470,1775)', '(470,1794)', '(425,1794)']
['(469,1775)', '(476,1775)', '(476,1794)', '(469,1794)']
['(85,1805)', '(199,1803)', '(199,1825)', '(85,1827)']
['(197,1804)', '(204,1804)', '(204,1825)', '(197,1825)']
['(208,1804)', '(242,1804)', '(242,1825)', '(208,1825)']
['(248,1803)', '(304,1802)', '(304,1824)', '(248,1825)']
['(308,1802)', '(340,1802)', '(340,1824)', '(308,1824)']
['(344,1802)', '(400,1801)', '(400,1822)', '(344,1823)']
['(400,1801)', '(405,1801)', '(405,1822)', '(400,1822)']
['(86,1839)', '(126,1839)', '(126,1859)', '(86,1859)']
['(131,1839)', '(182,1839)', '(182,1858)', '(131,1858)']
['(188,1839)', '(217,1839)', '(217,1858)', '(188,1858)']
['(223,1839)', '(285,1839)', '(285,1858)', '(223,1858)']
['(290,1839)', '(319,1839)', '(319,1858)', '(290,1858)']
['(324,1838)', '(410,1838)', '(410,1858)', '(324,1858)']
['(410,1838)', '(416,1838)', '(416,1857)', '(410,1857)']
['(422,1838)', '(471,1838)', '(471,1857)', '(422,1857)']
['(470,1838)', '(476,1838)', '(476,1857)', '(470,1857)']
['(480,1838)', '(515,1838)', '(515,1857)', '(480,1857)']
['(84,1870)', '(185,1869)', '(185,1890)', '(84,1891)']
['(191,1869)', '(260,1868)', '(260,1889)', '(191,1890)']
['(266,1869)', '(286,1869)', '(286,1889)', '(266,1889)']
['(292,1868)', '(380,1867)', '(380,1888)', '(292,1889)']
['(386,1867)', '(419,1867)', '(419,1887)', '(386,1887)']
['(423,1867)', '(465,1867)', '(465,1887)', '(423,1887)']
['(468,1866)', '(516,1866)', '(516,1887)', '(468,1887)']
['(584,313)', '(619,313)', '(619,331)', '(584,331)']
['(625,313)', '(664,313)', '(664,331)', '(625,331)']
['(668,313)', '(673,313)', '(673,331)', '(668,331)']
['(679,313)', '(721,313)', '(721,332)', '(679,332)']
