['(69,318)', '(540,318)', '(540,2068)', '(69,2068)']
['(69,2051)', '(86,2051)', '(86,2068)', '(69,2068)']
['(74,319)', '(120,319)', '(120,338)', '(74,338)']
['(120,319)', '(127,319)', '(127,338)', '(120,338)']
['(131,319)', '(167,319)', '(167,338)', '(131,338)']
['(171,319)', '(250,319)', '(250,338)', '(171,338)']
['(253,319)', '(308,319)', '(308,338)', '(253,338)']
['(313,319)', '(329,319)', '(329,338)', '(313,338)']
['(336,319)', '(421,319)', '(421,338)', '(336,338)']
['(425,319)', '(464,319)', '(464,338)', '(425,338)']
['(467,319)', '(510,319)', '(510,338)', '(467,338)']
['(74,349)', '(106,349)', '(106,368)', '(74,368)']
['(111,349)', '(121,349)', '(121,368)', '(111,368)']
['(120,349)', '(230,349)', '(230,368)', '(120,368)']
['(234,349)', '(290,349)', '(290,368)', '(234,368)']
['(288,349)', '(293,349)', '(293,368)', '(288,368)']
['(294,349)', '(304,349)', '(304,368)', '(294,368)']
['(308,349)', '(353,349)', '(353,368)', '(308,368)']
['(357,349)', '(387,349)', '(387,368)', '(357,368)']
['(392,349)', '(425,349)', '(425,368)', '(392,368)']
['(427,349)', '(483,349)', '(483,368)', '(427,368)']
['(487,349)', '(528,349)', '(528,368)', '(487,368)']
['(74,379)', '(181,379)', '(181,398)', '(74,398)']
['(185,379)', '(217,379)', '(217,398)', '(185,398)']
['(222,379)', '(284,379)', '(284,398)', '(222,398)']
['(289,379)', '(308,379)', '(308,398)', '(289,398)']
['(313,379)', '(349,379)', '(349,398)', '(313,398)']
['(353,379)', '(373,379)', '(373,398)', '(353,398)']
['(377,379)', '(408,379)', '(408,398)', '(377,398)']
['(414,379)', '(530,379)', '(530,398)', '(414,398)']
['(527,379)', '(534,379)', '(534,398)', '(527,398)']
['(74,408)', '(158,408)', '(158,428)', '(74,428)']
['(158,408)', '(166,408)', '(166,428)', '(158,428)']
['(162,408)', '(173,408)', '(173,428)', '(162,428)']
['(170,408)', '(276,408)', '(276,428)', '(170,428)']
['(277,408)', '(282,408)', '(282,428)', '(277,428)']
['(286,408)', '(395,408)', '(395,428)', '(286,428)']
['(394,408)', '(401,408)', '(401,428)', '(394,428)']
['(405,408)', '(440,408)', '(440,428)', '(405,428)']
['(444,408)', '(501,408)', '(501,428)', '(444,428)']
['(75,438)', '(134,438)', '(134,459)', '(75,459)']
['(138,438)', '(159,438)', '(159,459)', '(138,459)']
['(161,438)', '(246,438)', '(246,459)', '(161,459)']
['(250,438)', '(300,438)', '(300,459)', '(250,459)']
['(305,438)', '(362,438)', '(362,459)', '(305,459)']
['(367,438)', '(390,438)', '(390,459)', '(367,459)']
['(394,438)', '(455,438)', '(455,459)', '(394,459)']
['(458,438)', '(501,438)', '(501,459)', '(458,459)']
['(75,469)', '(107,469)', '(107,489)', '(75,489)']
['(110,469)', '(159,469)', '(159,489)', '(110,489)']
['(161,469)', '(222,469)', '(222,489)', '(161,489)']
['(221,469)', '(228,469)', '(228,489)', '(221,489)']
['(233,469)', '(282,469)', '(282,489)', '(233,489)']
['(287,469)', '(329,469)', '(329,489)', '(287,489)']
['(333,469)', '(380,469)', '(380,489)', '(333,489)']
['(385,469)', '(444,469)', '(444,489)', '(385,489)']
['(443,469)', '(451,469)', '(451,489)', '(443,489)']
