['(43,61)', '(1504,61)', '(1504,2055)', '(43,2055)']
['(74,62)', '(239,63)', '(239,127)', '(74,126)']
['(263,62)', '(343,62)', '(343,126)', '(263,126)']
['(359,63)', '(505,64)', '(505,128)', '(359,127)']
['(514,63)', '(646,64)', '(646,129)', '(514,128)']
['(662,64)', '(829,65)', '(829,129)', '(662,128)']
['(843,64)', '(1019,65)', '(1019,130)', '(843,129)']
['(1024,65)', '(1045,65)', '(1045,129)', '(1024,129)']
['(72,155)', '(217,156)', '(217,217)', '(72,216)']
['(232,156)', '(503,157)', '(503,218)', '(232,217)']
['(44,315)', '(135,315)', '(135,338)', '(44,338)']
['(145,315)', '(236,315)', '(236,338)', '(145,338)']
['(244,315)', '(289,315)', '(289,338)', '(244,338)']
['(298,316)', '(417,316)', '(417,339)', '(298,339)']
['(417,316)', '(430,316)', '(430,339)', '(417,339)']
['(45,353)', '(94,353)', '(94,381)', '(45,381)']
['(102,353)', '(287,353)', '(287,381)', '(102,381)']
['(291,353)', '(324,353)', '(324,381)', '(291,381)']
['(326,353)', '(388,353)', '(388,381)', '(326,381)']
['(394,353)', '(455,353)', '(455,381)', '(394,381)']
['(46,391)', '(130,391)', '(130,411)', '(46,411)']
['(135,391)', '(176,391)', '(176,411)', '(135,411)']
['(183,391)', '(274,391)', '(274,411)', '(183,411)']
['(280,391)', '(387,391)', '(387,411)', '(280,411)']
['(391,391)', '(468,391)', '(468,411)', '(391,411)']
['(44,420)', '(179,420)', '(179,440)', '(44,440)']
['(185,420)', '(202,420)', '(202,440)', '(185,440)']
['(207,420)', '(239,420)', '(239,440)', '(207,440)']
['(244,420)', '(362,420)', '(362,440)', '(244,440)']
['(368,420)', '(447,420)', '(447,440)', '(368,440)']
['(45,451)', '(65,451)', '(65,471)', '(45,471)']
['(70,451)', '(134,451)', '(134,471)', '(70,471)']
['(139,451)', '(211,451)', '(211,471)', '(139,471)']
['(210,451)', '(216,451)', '(216,471)', '(210,471)']
['(222,451)', '(309,451)', '(309,471)', '(222,471)']
['(310,451)', '(316,451)', '(316,471)', '(310,471)']
['(321,451)', '(355,451)', '(355,471)', '(321,471)']
['(361,451)', '(386,451)', '(386,471)', '(361,471)']
['(385,451)', '(394,451)', '(394,471)', '(385,471)']
['(394,451)', '(416,451)', '(416,471)', '(394,471)']
['(415,451)', '(424,451)', '(424,471)', '(415,471)']
['(422,451)', '(466,451)', '(466,471)', '(422,471)']
['(44,481)', '(84,481)', '(84,497)', '(44,497)']
['(89,481)', '(199,481)', '(199,497)', '(89,497)']
['(201,481)', '(207,481)', '(207,497)', '(201,497)']
['(211,481)', '(265,481)', '(265,497)', '(211,497)']
['(271,481)', '(338,481)', '(338,497)', '(271,497)']
['(341,481)', '(459,481)', '(459,497)', '(341,497)']
['(44,512)', '(94,512)', '(94,530)', '(44,530)']
['(99,512)', '(139,512)', '(139,530)', '(99,530)']
['(143,512)', '(183,512)', '(183,530)', '(143,530)']
['(189,512)', '(260,512)', '(260,530)', '(189,530)']
['(265,512)', '(286,512)', '(286,530)', '(265,530)']
['(292,512)', '(364,512)', '(364,530)', '(292,530)']
['(367,512)', '(459,512)', '(459,530)', '(367,530)']
['(45,541)', '(142,541)', '(142,560)', '(45,560)']
['(143,541)', '(149,541)', '(149,560)', '(143,560)']
['(155,541)', '(201,541)', '(201,560)', '(155,560)']
['(206,541)', '(319,541)', '(319,560)', '(206,560)']
['(325,541)', '(384,541)', '(384,560)', '(325,560)']
['(389,541)', '(421,541)', '(421,560)', '(389,560)']
['(425,541)', '(505,541)', '(505,560)', '(425,560)']
['(45,570)', '(73,570)', '(73,591)', '(45,591)']
['(79,570)', '(180,569)', '(180,590)', '(79,591)']
['(187,569)', '(233,569)', '(233,590)', '(187,590)']
['(240,569)', '(293,569)', '(293,589)', '(240,589)']
['(296,569)', '(364,569)', '(364,589)', '(296,589)']
['(363,569)', '(369,569)', '(369,589)', '(363,589)']
['(373,568)', '(467,567)', '(467,588)', '(373,589)']
['(45,600)', '(91,600)', '(91,620)', '(45,620)']
['(97,600)', '(188,600)', '(188,620)', '(97,620)']
['(194,600)', '(233,600)', '(233,620)', '(194,620)']
['(232,600)', '(238,600)', '(238,620)', '(232,620)']
['(243,601)', '(259,601)', '(259,621)', '(243,621)']
['(264,601)', '(303,601)', '(303,621)', '(264,621)']
['(302,601)', '(308,601)', '(308,621)', '(302,621)']
['(313,601)', '(337,601)', '(337,621)', '(313,621)']
['(343,601)', '(427,601)', '(427,621)', '(343,621)']
['(430,601)', '(452,601)', '(452,622)', '(430,622)']
['(45,630)', '(110,630)', '(110,648)', '(45,648)']
['(114,629)', '(205,630)', '(205,649)', '(114,648)']
['(211,631)', '(272,631)', '(272,649)', '(211,649)']
['(272,631)', '(278,631)', '(278,649)', '(272,649)']
['(282,631)', '(376,632)', '(376,651)', '(282,650)']
['(375,632)', '(382,632)', '(382,650)', '(375,650)']
['(388,632)', '(436,632)', '(436,650)', '(388,650)']
['(440,632)', '(471,632)', '(471,650)', '(440,650)']
