['(40,67)', '(1499,67)', '(1499,2064)', '(40,2064)']
['(72,67)', '(240,68)', '(240,133)', '(72,132)']
['(258,69)', '(391,70)', '(391,134)', '(258,133)']
['(407,69)', '(577,70)', '(577,135)', '(407,134)']
['(591,70)', '(768,71)', '(768,136)', '(591,135)']
['(784,71)', '(848,71)', '(848,136)', '(784,136)']
['(864,71)', '(1046,72)', '(1046,137)', '(864,136)']
['(1047,73)', '(1068,73)', '(1068,137)', '(1047,137)']
['(67,163)', '(178,163)', '(178,225)', '(67,225)']
['(192,163)', '(566,163)', '(566,225)', '(192,225)']
['(45,323)', '(101,323)', '(101,344)', '(45,344)']
['(109,323)', '(188,323)', '(188,344)', '(109,344)']
['(187,323)', '(198,323)', '(198,344)', '(187,344)']
['(42,358)', '(72,358)', '(72,376)', '(42,376)']
['(75,358)', '(114,358)', '(114,376)', '(75,376)']
['(120,358)', '(161,358)', '(161,376)', '(120,376)']
['(167,358)', '(212,358)', '(212,376)', '(167,376)']
['(217,358)', '(262,358)', '(262,376)', '(217,376)']
['(269,358)', '(338,358)', '(338,376)', '(269,376)']
['(344,358)', '(382,358)', '(382,376)', '(344,376)']
['(386,358)', '(412,358)', '(412,376)', '(386,376)']
['(418,358)', '(499,358)', '(499,376)', '(418,376)']
['(43,388)', '(135,388)', '(135,408)', '(43,408)']
['(140,388)', '(161,388)', '(161,408)', '(140,408)']
['(165,388)', '(198,388)', '(198,408)', '(165,408)']
['(204,388)', '(349,389)', '(349,410)', '(204,409)']
['(354,389)', '(421,389)', '(421,409)', '(354,409)']
['(425,389)', '(450,389)', '(450,409)', '(425,409)']
['(43,415)', '(164,417)', '(164,437)', '(43,435)']
['(170,418)', '(205,419)', '(205,438)', '(170,437)']
['(210,418)', '(313,420)', '(313,440)', '(210,438)']
['(314,420)', '(321,420)', '(321,439)', '(314,439)']
['(43,479)', '(193,479)', '(193,501)', '(43,501)']
['(193,479)', '(205,479)', '(205,501)', '(193,501)']
['(42,513)', '(79,513)', '(79,532)', '(42,532)']
['(83,513)', '(124,513)', '(124,532)', '(83,532)']
['(128,513)', '(170,513)', '(170,532)', '(128,532)']
['(176,513)', '(192,513)', '(192,533)', '(176,533)']
