['(82,311)', '(1546,311)', '(1546,2062)', '(82,2062)']
['(84,313)', '(181,313)', '(181,340)', '(84,340)']
['(187,313)', '(311,313)', '(311,340)', '(187,340)']
['(320,313)', '(392,313)', '(392,340)', '(320,340)']
['(82,350)', '(135,350)', '(135,371)', '(82,371)']
['(139,350)', '(171,350)', '(171,370)', '(139,370)']
['(176,350)', '(219,350)', '(219,370)', '(176,370)']
['(222,350)', '(322,350)', '(322,370)', '(222,370)']
['(328,349)', '(375,349)', '(375,370)', '(328,370)']
['(380,349)', '(390,349)', '(390,369)', '(380,369)']
['(397,349)', '(472,349)', '(472,369)', '(397,369)']
['(475,349)', '(497,349)', '(497,369)', '(475,369)']
['(82,379)', '(168,379)', '(168,400)', '(82,400)']
['(167,379)', '(175,379)', '(175,400)', '(167,400)']
['(179,379)', '(239,379)', '(239,400)', '(179,400)']
['(242,379)', '(253,379)', '(253,400)', '(242,400)']
['(259,379)', '(316,379)', '(316,400)', '(259,400)']
['(322,379)', '(343,379)', '(343,400)', '(322,400)']
['(347,379)', '(397,379)', '(397,400)', '(347,400)']
['(402,379)', '(470,379)', '(470,400)', '(402,400)']
['(473,379)', '(513,379)', '(513,400)', '(473,400)']
['(82,410)', '(139,410)', '(139,429)', '(82,429)']
['(142,410)', '(193,410)', '(193,429)', '(142,429)']
['(197,410)', '(231,410)', '(231,429)', '(197,429)']
['(237,410)', '(297,410)', '(297,429)', '(237,429)']
['(301,410)', '(322,410)', '(322,429)', '(301,429)']
['(326,410)', '(406,410)', '(406,429)', '(326,429)']
['(405,410)', '(412,410)', '(412,429)', '(405,429)']
['(82,453)', '(153,452)', '(153,472)', '(82,473)']
['(152,453)', '(167,453)', '(167,472)', '(152,472)']
['(167,453)', '(202,453)', '(202,472)', '(167,472)']
['(207,452)', '(262,452)', '(262,472)', '(207,472)']
['(267,452)', '(296,452)', '(296,471)', '(267,471)']
['(301,451)', '(389,450)', '(389,470)', '(301,471)']
['(393,451)', '(428,451)', '(428,470)', '(393,470)']
['(433,451)', '(465,451)', '(465,470)', '(433,470)']
['(82,484)', '(208,484)', '(208,504)', '(82,504)']
['(214,484)', '(261,484)', '(261,503)', '(214,503)']
['(266,484)', '(322,484)', '(322,503)', '(266,503)']
['(328,483)', '(443,483)', '(443,503)', '(328,503)']
['(448,483)', '(463,483)', '(463,502)', '(448,502)']
['(468,483)', '(523,483)', '(523,502)', '(468,502)']
['(83,513)', '(172,513)', '(172,535)', '(83,535)']
