['(45,311)', '(1508,311)', '(1508,2053)', '(45,2053)']
['(47,312)', '(88,312)', '(88,332)', '(47,332)']
['(91,312)', '(125,312)', '(125,332)', '(91,332)']
['(130,312)', '(154,312)', '(154,332)', '(130,332)']
['(158,312)', '(269,312)', '(269,332)', '(158,332)']
['(276,312)', '(300,312)', '(300,332)', '(276,332)']
['(304,312)', '(351,312)', '(351,332)', '(304,332)']
['(350,312)', '(358,312)', '(358,332)', '(350,332)']
['(364,312)', '(384,312)', '(384,332)', '(364,332)']
['(390,312)', '(413,312)', '(413,332)', '(390,332)']
['(417,312)', '(440,312)', '(440,332)', '(417,332)']
['(444,312)', '(485,312)', '(485,332)', '(444,332)']
['(481,312)', '(489,312)', '(489,332)', '(481,332)']
['(48,342)', '(86,342)', '(86,361)', '(48,361)']
['(89,342)', '(122,342)', '(122,361)', '(89,361)']
['(127,342)', '(204,342)', '(204,361)', '(127,361)']
['(210,342)', '(244,342)', '(244,361)', '(210,361)']
['(250,342)', '(271,342)', '(271,361)', '(250,361)']
['(275,342)', '(307,342)', '(307,361)', '(275,361)']
['(312,342)', '(352,342)', '(352,361)', '(312,361)']
['(356,342)', '(377,342)', '(377,361)', '(356,361)']
['(380,342)', '(447,342)', '(447,361)', '(380,361)']
['(452,342)', '(499,342)', '(499,361)', '(452,361)']
['(48,370)', '(64,370)', '(64,388)', '(48,388)']
['(67,370)', '(106,370)', '(106,388)', '(67,388)']
['(111,370)', '(192,371)', '(192,389)', '(111,388)']
['(193,371)', '(197,371)', '(197,389)', '(193,389)']
['(204,371)', '(219,371)', '(219,389)', '(204,389)']
['(223,370)', '(302,371)', '(302,390)', '(223,389)']
['(306,372)', '(338,372)', '(338,390)', '(306,390)']
['(344,372)', '(364,372)', '(364,390)', '(344,390)']
['(370,372)', '(393,372)', '(393,390)', '(370,390)']
['(398,372)', '(509,373)', '(509,392)', '(398,391)']
['(47,403)', '(74,403)', '(74,423)', '(47,423)']
['(75,403)', '(127,403)', '(127,423)', '(75,423)']
['(133,403)', '(194,403)', '(194,423)', '(133,423)']
['(193,403)', '(200,403)', '(200,423)', '(193,423)']
['(205,403)', '(248,403)', '(248,423)', '(205,423)']
['(251,403)', '(322,403)', '(322,423)', '(251,423)']
['(326,403)', '(415,403)', '(415,423)', '(326,423)']
['(415,403)', '(422,403)', '(422,423)', '(415,423)']
['(426,403)', '(447,403)', '(447,423)', '(426,423)']
['(450,403)', '(471,403)', '(471,423)', '(450,423)']
['(48,432)', '(109,432)', '(109,451)', '(48,451)']
['(113,432)', '(169,432)', '(169,451)', '(113,451)']
['(168,432)', '(174,432)', '(174,451)', '(168,451)']
['(179,432)', '(201,432)', '(201,451)', '(179,451)']
['(207,432)', '(303,432)', '(303,451)', '(207,451)']
['(307,432)', '(403,432)', '(403,451)', '(307,451)']
['(407,432)', '(471,432)', '(471,451)', '(407,451)']
['(477,432)', '(500,432)', '(500,451)', '(477,451)']
['(47,463)', '(150,463)', '(150,482)', '(47,482)']
['(157,463)', '(180,463)', '(180,482)', '(157,482)']
['(184,463)', '(216,463)', '(216,482)', '(184,482)']
['(221,463)', '(312,463)', '(312,482)', '(221,482)']
['(311,463)', '(316,463)', '(316,482)', '(311,482)']
['(46,503)', '(102,504)', '(102,524)', '(46,523)']
['(108,503)', '(204,504)', '(204,525)', '(108,524)']
['(208,504)', '(310,505)', '(310,526)', '(208,525)']
['(316,505)', '(329,505)', '(329,525)', '(316,525)']
['(334,505)', '(417,506)', '(417,527)', '(334,526)']
['(420,506)', '(431,506)', '(431,526)', '(420,526)']
['(47,535)', '(86,535)', '(86,553)', '(47,553)']
['(91,534)', '(170,535)', '(170,554)', '(91,553)']
['(176,536)', '(197,536)', '(197,554)', '(176,554)']
['(201,535)', '(289,536)', '(289,555)', '(201,554)']
['(290,536)', '(296,536)', '(296,554)', '(290,554)']
['(301,536)', '(373,537)', '(373,556)', '(301,555)']
['(376,537)', '(465,538)', '(465,557)', '(376,556)']
['(48,563)', '(148,564)', '(148,584)', '(48,583)']
['(153,565)', '(204,565)', '(204,584)', '(153,584)']
['(209,565)', '(294,566)', '(294,585)', '(209,584)']
['(299,566)', '(339,566)', '(339,585)', '(299,585)']
['(343,566)', '(375,566)', '(375,586)', '(343,586)']
['(381,566)', '(497,567)', '(497,587)', '(381,586)']
['(48,597)', '(111,597)', '(111,616)', '(48,616)']
['(117,597)', '(234,597)', '(234,616)', '(117,616)']
['(231,597)', '(238,597)', '(238,616)', '(231,616)']
['(243,597)', '(260,597)', '(260,616)', '(243,616)']
['(266,597)', '(288,597)', '(288,616)', '(266,616)']
['(294,597)', '(378,597)', '(378,616)', '(294,616)']
['(384,597)', '(461,597)', '(461,616)', '(384,616)']
['(461,597)', '(467,597)', '(467,616)', '(461,616)']
['(47,625)', '(79,625)', '(79,647)', '(47,647)']
['(85,625)', '(117,625)', '(117,647)', '(85,647)']
['(122,625)', '(144,625)', '(144,647)', '(122,647)']
['(147,625)', '(235,626)', '(235,649)', '(147,648)']
['(240,626)', '(247,626)', '(247,648)', '(240,648)']
['(248,626)', '(337,627)', '(337,649)', '(248,648)']
['(342,626)', '(403,626)', '(403,649)', '(342,649)']
['(402,627)', '(409,627)', '(409,649)', '(402,649)']
['(413,627)', '(450,627)', '(450,649)', '(413,649)']
['(448,627)', '(456,627)', '(456,649)', '(448,649)']
['(460,627)', '(495,627)', '(495,649)', '(460,649)']
['(48,657)', '(126,657)', '(126,676)', '(48,676)']
['(132,657)', '(230,657)', '(230,676)', '(132,676)']
['(236,657)', '(324,657)', '(324,676)', '(236,676)']
['(330,657)', '(359,657)', '(359,676)', '(330,676)']
['(365,657)', '(467,657)', '(467,676)', '(365,676)']
['(467,657)', '(476,657)', '(476,676)', '(467,676)']
['(48,687)', '(95,687)', '(95,704)', '(48,704)']
['(100,687)', '(124,687)', '(124,704)', '(100,704)']
['(129,687)', '(237,687)', '(237,704)', '(129,704)']
['(243,687)', '(261,687)', '(261,704)', '(243,704)']
['(267,687)', '(299,687)', '(299,704)', '(267,704)']
['(304,687)', '(347,687)', '(347,704)', '(304,704)']
['(353,687)', '(374,687)', '(374,704)', '(353,704)']
['(377,687)', '(409,687)', '(409,704)', '(377,704)']
['(414,687)', '(496,687)', '(496,704)', '(414,704)']
['(497,687)', '(502,687)', '(502,704)', '(497,704)']
['(49,717)', '(80,717)', '(80,736)', '(49,736)']
['(84,717)', '(122,717)', '(122,736)', '(84,736)']
['(128,717)', '(247,717)', '(247,736)', '(128,736)']
['(246,717)', '(252,717)', '(252,736)', '(246,736)']
['(259,717)', '(306,717)', '(306,736)', '(259,736)']
['(310,717)', '(351,717)', '(351,736)', '(310,736)']
['(356,717)', '(391,717)', '(391,736)', '(356,736)']
['(396,717)', '(446,717)', '(446,736)', '(396,736)']
['(47,747)', '(99,747)', '(99,766)', '(47,766)']
['(104,747)', '(137,747)', '(137,766)', '(104,766)']
['(143,747)', '(198,747)', '(198,766)', '(143,766)']
['(202,747)', '(225,747)', '(225,766)', '(202,766)']
['(230,747)', '(251,747)', '(251,766)', '(230,766)']
['(256,747)', '(331,747)', '(331,766)', '(256,766)']
['(337,747)', '(371,747)', '(371,766)', '(337,766)']
['(377,747)', '(418,747)', '(418,766)', '(377,766)']
['(422,747)', '(478,747)', '(478,766)', '(422,766)']
['(482,747)', '(498,747)', '(498,766)', '(482,766)']
['(48,777)', '(143,777)', '(143,797)', '(48,797)']
['(149,777)', '(209,777)', '(209,797)', '(149,797)']
['(215,777)', '(311,777)', '(311,797)', '(215,797)']
['(316,777)', '(386,777)', '(386,797)', '(316,797)']
['(390,777)', '(422,777)', '(422,797)', '(390,797)']
['(428,777)', '(496,777)', '(496,797)', '(428,797)']
['(47,806)', '(95,806)', '(95,826)', '(47,826)']
['(99,806)', '(134,806)', '(134,826)', '(99,826)']
['(133,806)', '(138,806)', '(138,826)', '(133,826)']
['(144,806)', '(207,806)', '(207,826)', '(144,826)']
['(205,806)', '(210,806)', '(210,826)', '(205,826)']
['(216,806)', '(240,806)', '(240,826)', '(216,826)']
['(245,806)', '(317,806)', '(317,826)', '(245,826)']
['(320,806)', '(408,806)', '(408,826)', '(320,826)']
['(413,806)', '(449,806)', '(449,826)', '(413,826)']
['(47,837)', '(115,837)', '(115,857)', '(47,857)']
['(121,837)', '(170,837)', '(170,857)', '(121,857)']
['(174,837)', '(240,837)', '(240,857)', '(174,857)']
['(247,837)', '(298,837)', '(298,857)', '(247,857)']
['(304,837)', '(356,837)', '(356,857)', '(304,857)']
['(359,837)', '(380,837)', '(380,857)', '(359,857)']
['(384,837)', '(468,837)', '(468,857)', '(384,857)']
['(472,837)', '(505,837)', '(505,857)', '(472,857)']
['(47,867)', '(81,867)', '(81,887)', '(47,887)']
['(85,867)', '(108,867)', '(108,887)', '(85,887)']
['(111,867)', '(146,867)', '(146,887)', '(111,887)']
['(149,867)', '(245,867)', '(245,887)', '(149,887)']
['(252,867)', '(330,867)', '(330,887)', '(252,887)']
['(335,867)', '(417,867)', '(417,887)', '(335,887)']
['(417,867)', '(423,867)', '(423,887)', '(417,887)']
['(48,911)', '(83,911)', '(83,931)', '(48,931)']
['(88,911)', '(204,911)', '(204,931)', '(88,931)']
['(201,911)', '(207,911)', '(207,931)', '(201,931)']
['(213,911)', '(234,911)', '(234,931)', '(213,931)']
['(238,911)', '(284,911)', '(284,931)', '(238,931)']
['(289,911)', '(353,911)', '(353,931)', '(289,931)']
['(354,911)', '(360,911)', '(360,931)', '(354,931)']
['(365,911)', '(404,911)', '(404,931)', '(365,931)']
['(408,911)', '(489,911)', '(489,931)', '(408,931)']
['(48,939)', '(154,939)', '(154,958)', '(48,958)']
['(159,939)', '(199,939)', '(199,958)', '(159,958)']
['(205,939)', '(262,939)', '(262,958)', '(205,958)']
['(267,939)', '(395,939)', '(395,959)', '(267,959)']
['(394,940)', '(403,940)', '(403,959)', '(394,959)']
['(402,940)', '(485,940)', '(485,959)', '(402,959)']
['(483,940)', '(492,940)', '(492,959)', '(483,959)']
['(48,971)', '(130,971)', '(130,990)', '(48,990)']
['(136,971)', '(263,971)', '(263,990)', '(136,990)']
['(265,971)', '(269,971)', '(269,990)', '(265,990)']
['(275,971)', '(289,971)', '(289,990)', '(275,990)']
['(294,971)', '(336,971)', '(336,990)', '(294,990)']
['(342,971)', '(438,971)', '(438,990)', '(342,990)']
['(442,971)', '(471,971)', '(471,990)', '(442,990)']
['(47,1001)', '(115,1001)', '(115,1020)', '(47,1020)']
['(118,1001)', '(188,1001)', '(188,1020)', '(118,1020)']
['(192,1001)', '(256,1001)', '(256,1020)', '(192,1020)']
['(255,1001)', '(261,1001)', '(261,1020)', '(255,1020)']
['(267,1001)', '(323,1001)', '(323,1020)', '(267,1020)']
['(327,1001)', '(444,1001)', '(444,1020)', '(327,1020)']
['(443,1001)', '(449,1001)', '(449,1020)', '(443,1020)']
['(454,1001)', '(489,1001)', '(489,1020)', '(454,1020)']
['(47,1031)', '(81,1031)', '(81,1052)', '(47,1052)']
['(86,1031)', '(126,1031)', '(126,1051)', '(86,1051)']
['(130,1031)', '(209,1031)', '(209,1051)', '(130,1051)']
['(215,1031)', '(235,1031)', '(235,1051)', '(215,1051)']
['(240,1031)', '(304,1031)', '(304,1051)', '(240,1051)']
['(309,1030)', '(373,1030)', '(373,1051)', '(309,1051)']
['(377,1030)', '(457,1030)', '(457,1050)', '(377,1050)']
['(48,1061)', '(67,1061)', '(67,1080)', '(48,1080)']
['(71,1061)', '(162,1060)', '(162,1079)', '(71,1080)']
['(169,1061)', '(183,1061)', '(183,1079)', '(169,1079)']
['(188,1060)', '(227,1060)', '(227,1079)', '(188,1079)']
['(232,1060)', '(312,1059)', '(312,1077)', '(232,1078)']
['(314,1060)', '(319,1060)', '(319,1078)', '(314,1078)']
['(325,1060)', '(357,1060)', '(357,1078)', '(325,1078)']
['(361,1059)', '(412,1059)', '(412,1077)', '(361,1077)']
['(417,1059)', '(457,1059)', '(457,1077)', '(417,1077)']
['(49,1091)', '(114,1091)', '(114,1111)', '(49,1111)']
['(120,1091)', '(233,1090)', '(233,1110)', '(120,1111)']
['(238,1090)', '(259,1090)', '(259,1110)', '(238,1110)']
['(264,1090)', '(340,1090)', '(340,1109)', '(264,1109)']
['(340,1090)', '(345,1090)', '(345,1109)', '(340,1109)']
['(351,1090)', '(393,1090)', '(393,1109)', '(351,1109)']
['(399,1090)', '(413,1090)', '(413,1109)', '(399,1109)']
['(419,1089)', '(499,1089)', '(499,1109)', '(419,1109)']
['(47,1121)', '(76,1121)', '(76,1141)', '(47,1141)']
['(82,1121)', '(186,1121)', '(186,1141)', '(82,1141)']
['(187,1121)', '(193,1121)', '(193,1141)', '(187,1141)']
['(198,1121)', '(274,1121)', '(274,1141)', '(198,1141)']
['(274,1121)', '(279,1121)', '(279,1141)', '(274,1141)']
['(284,1121)', '(364,1121)', '(364,1141)', '(284,1141)']
['(369,1121)', '(402,1121)', '(402,1141)', '(369,1141)']
['(406,1121)', '(445,1121)', '(445,1141)', '(406,1141)']
['(443,1121)', '(450,1121)', '(450,1141)', '(443,1141)']
['(48,1151)', '(81,1151)', '(81,1171)', '(48,1171)']
['(90,1151)', '(156,1151)', '(156,1171)', '(90,1171)']
['(162,1151)', '(188,1151)', '(188,1171)', '(162,1171)']
['(191,1151)', '(223,1151)', '(223,1171)', '(191,1171)']
['(228,1151)', '(321,1151)', '(321,1171)', '(228,1171)']
['(326,1151)', '(440,1151)', '(440,1171)', '(326,1171)']
['(48,1181)', '(57,1181)', '(57,1200)', '(48,1200)']
['(55,1181)', '(89,1181)', '(89,1200)', '(55,1200)']
['(96,1181)', '(140,1181)', '(140,1200)', '(96,1200)']
['(146,1181)', '(170,1181)', '(170,1200)', '(146,1200)']
['(174,1181)', '(234,1181)', '(234,1200)', '(174,1200)']
['(239,1181)', '(336,1181)', '(336,1201)', '(239,1201)']
['(334,1182)', '(341,1182)', '(341,1201)', '(334,1201)']
['(349,1182)', '(368,1182)', '(368,1201)', '(349,1201)']
['(374,1182)', '(438,1182)', '(438,1201)', '(374,1201)']
['(443,1182)', '(454,1182)', '(454,1201)', '(443,1201)']
['(48,1211)', '(137,1211)', '(137,1231)', '(48,1231)']
['(143,1211)', '(248,1211)', '(248,1231)', '(143,1231)']
['(250,1211)', '(255,1211)', '(255,1231)', '(250,1231)']
['(261,1211)', '(360,1211)', '(360,1231)', '(261,1231)']
['(366,1211)', '(389,1211)', '(389,1231)', '(366,1231)']
['(391,1211)', '(423,1211)', '(423,1231)', '(391,1231)']
['(427,1211)', '(504,1211)', '(504,1231)', '(427,1231)']
['(48,1238)', '(155,1239)', '(155,1261)', '(48,1260)']
['(160,1239)', '(167,1239)', '(167,1260)', '(160,1260)']
['(168,1239)', '(256,1240)', '(256,1262)', '(168,1261)']
['(257,1240)', '(262,1240)', '(262,1261)', '(257,1261)']
['(267,1240)', '(358,1241)', '(358,1263)', '(267,1262)']
['(357,1241)', '(364,1241)', '(364,1262)', '(357,1262)']
['(369,1241)', '(423,1241)', '(423,1263)', '(369,1263)']
['(421,1242)', '(427,1242)', '(427,1263)', '(421,1263)']
['(433,1242)', '(490,1243)', '(490,1263)', '(433,1263)']
['(491,1242)', '(498,1242)', '(498,1263)', '(491,1263)']
['(48,1271)', '(144,1271)', '(144,1291)', '(48,1291)']
['(143,1271)', '(151,1271)', '(151,1291)', '(143,1291)']
['(155,1271)', '(196,1271)', '(196,1291)', '(155,1291)']
['(202,1271)', '(295,1271)', '(295,1291)', '(202,1291)']
['(296,1271)', '(301,1271)', '(301,1291)', '(296,1291)']
['(308,1271)', '(341,1271)', '(341,1291)', '(308,1291)']
['(343,1271)', '(350,1271)', '(350,1291)', '(343,1291)']
['(356,1271)', '(369,1271)', '(369,1291)', '(356,1291)']
['(375,1271)', '(457,1271)', '(457,1291)', '(375,1291)']
['(457,1271)', '(463,1271)', '(463,1291)', '(457,1291)']
['(48,1316)', '(64,1316)', '(64,1334)', '(48,1334)']
['(71,1316)', '(120,1316)', '(120,1333)', '(71,1333)']
['(126,1316)', '(177,1316)', '(177,1333)', '(126,1333)']
['(177,1316)', '(182,1316)', '(182,1333)', '(177,1333)']
['(189,1315)', '(219,1315)', '(219,1332)', '(189,1332)']
['(225,1315)', '(316,1314)', '(316,1332)', '(225,1333)']
['(321,1314)', '(368,1314)', '(368,1331)', '(321,1331)']
['(374,1314)', '(454,1313)', '(454,1331)', '(374,1332)']
['(457,1313)', '(489,1313)', '(489,1330)', '(457,1330)']
['(48,1344)', '(80,1344)', '(80,1365)', '(48,1365)']
['(84,1344)', '(107,1344)', '(107,1364)', '(84,1364)']
['(110,1344)', '(121,1344)', '(121,1364)', '(110,1364)']
['(126,1344)', '(177,1344)', '(177,1364)', '(126,1364)']
['(182,1344)', '(217,1344)', '(217,1364)', '(182,1364)']
['(223,1344)', '(245,1344)', '(245,1364)', '(223,1364)']
['(250,1343)', '(361,1343)', '(361,1364)', '(250,1364)']
['(366,1343)', '(411,1343)', '(411,1363)', '(366,1363)']
['(416,1343)', '(447,1343)', '(447,1363)', '(416,1363)']
['(449,1343)', '(482,1343)', '(482,1363)', '(449,1363)']
['(48,1375)', '(154,1375)', '(154,1395)', '(48,1395)']
['(159,1375)', '(181,1375)', '(181,1395)', '(159,1395)']
['(184,1375)', '(233,1375)', '(233,1395)', '(184,1395)']
['(238,1375)', '(258,1375)', '(258,1395)', '(238,1395)']
['(264,1375)', '(319,1375)', '(319,1395)', '(264,1395)']
['(325,1375)', '(377,1375)', '(377,1395)', '(325,1395)']
['(377,1375)', '(382,1375)', '(382,1395)', '(377,1395)']
['(389,1375)', '(420,1375)', '(420,1395)', '(389,1395)']
['(423,1375)', '(478,1375)', '(478,1395)', '(423,1395)']
['(48,1405)', '(139,1405)', '(139,1422)', '(48,1422)']
['(144,1405)', '(203,1405)', '(203,1421)', '(144,1421)']
['(209,1405)', '(219,1405)', '(219,1421)', '(209,1421)']
['(225,1405)', '(276,1405)', '(276,1421)', '(225,1421)']
['(282,1405)', '(296,1405)', '(296,1421)', '(282,1421)']
['(301,1404)', '(333,1404)', '(333,1421)', '(301,1421)']
['(339,1404)', '(418,1404)', '(418,1420)', '(339,1420)']
['(425,1404)', '(441,1404)', '(441,1420)', '(425,1420)']
['(446,1404)', '(478,1404)', '(478,1420)', '(446,1420)']
['(48,1435)', '(128,1435)', '(128,1455)', '(48,1455)']
['(135,1435)', '(179,1435)', '(179,1454)', '(135,1454)']
['(185,1435)', '(220,1435)', '(220,1454)', '(185,1454)']
